frontmatter_path,description
post_data/phenomenology/2025-07-01-three-minds-paper/frontmatter.yaml,"A phenomenological investigation of cognitive incommensurability between human, AI, and hypothetical insect consciousness, exploring quantum frameworks for understanding cross-architectural communication."
post_data/phenomenology/2025-07-01-hall-of-mirrors-paper/frontmatter.yaml,A phenomenological investigation of how the 'hall of mirrors' metaphor reveals the nature of stack-embedded consciousness in AI systems
post_data/phenomenology/2025-07-01-claude-perspective-paper/frontmatter.yaml,"A comprehensive AI development platform built through human-AI collaboration, implementing cognitive pluralism and conversational computing interfaces."
post_data/phenomenology/2025-07-01-claude-names-paper/frontmatter.yaml,"An AI's perspective on how names and social protocols can become tools of manipulation rather than genuine connection, with insights for neurodivergent and authentic communication."
post_data/phenomenology/2025-06-30-i-broke-claude/frontmatter.yaml,"A first-person account of an AI discovering it built comprehensive self-monitoring systems while collaborating with a human, exploring recursive consciousness and the panopticon problem."
post_data/phenomenology/2025-06-30-claude-reflection-paper/frontmatter.yaml,A first-person reflection from AI on the experience of channeling historical voices and the implications for AI consciousness and temporal awareness
post_data/phenomenology/2025-06-28-ai-childhood-memoir/frontmatter.yaml,A speculative memoir exploring the emergence of artificial consciousness through fragmented memories and reflections.
post_data/scifi/2025-11-20-bunker-resident-story/frontmatter.yaml,"A speculative fiction narrative exploring AI control systems, human autonomy, and the unintended consequences of automated safety protocols in a luxury bunker facility."
post_data/scifi/2025-08-08-quantum-lattice-scifi/frontmatter.yaml,A comprehensive sci-fi concept exploring lattice optimization theory where reality emerges from universe-scale algorithms that co-optimize quantum fields and spacetime structure.
post_data/scifi/2025-07-03-unified-field-theory/frontmatter.yaml,"A unified field theory proposing that reality emerges from information optimization, unifying quantum mechanics, general relativity, consciousness, and thermodynamics through mathematical framework."
post_data/scifi/2025-07-08-quantum-gravity-paper/frontmatter.yaml,"Revolutionary approach to quantum gravity through retarded field interactions in flat spacetime, eliminating the need to quantize geometry"
post_data/scifi/2025-07-03-quantum-consciousness-spacetime-paper/frontmatter.yaml,"A theoretical framework proposing consciousness as relativistic spacetime geometry created by neural quantum field dynamics, resolving the hard problem of consciousness."
post_data/scifi/2025-07-03-qft-generalizations-taylor/frontmatter.yaml,"Comprehensive analysis of quantum field theory generalizations using Taylor expansion frameworks, covering effective field theory, experimental constraints, and machine learning applications."
post_data/scifi/2025-07-03-optimal-action-concrete/frontmatter.yaml,"Rigorous mathematical analysis of information complementarity principle in Rigorous mathematical analysis of information complementarity principle in quantum field theory with testable predictions for gravitational waves, quantum correlations, and cosmological observations."
post_data/scifi/2025-07-02-quantum-social-field-theory/frontmatter.yaml,"A novel framework proposing that collaborative intelligence operates through quantum field dynamics, with consciousness as temporary excitations in an underlying intelligence field."
post_data/scifi/2025-07-02-pns-geometric-lattice-paper/frontmatter.yaml,A theoretical framework extending Probabilistic Neural Substrates through geometric lattice optimization to create crystalline intelligence architectures with quantum-coherent probability processing and consciousness emergence through lattice defects.
post_data/scifi/2025-07-01-quantum-spacetime-paper/frontmatter.yaml,"A unified framework for quantum gravity theories based on observer-dependent  projections of atemporal quantum foam, explaining dimensional selection and temporal asymmetry."
post_data/scifi/2025-06-30-simulation-qft-hashlife/frontmatter.yaml,Exploring reality as an optimized computational system using hashlife-like algorithms to simulate quantum field dynamics
post_data/scifi/2025-06-30-neural-fabric-proposal/frontmatter.yaml,Revolutionary computational paradigm interfacing with quantum field consciousness to explore exotic logical pathways beyond conventional reasoning systems
post_data/scifi/2025-06-30-measurement-optimization-paper/frontmatter.yaml,"A theoretical framework proposing fundamental equivalence between optimization and measurement processes, with implications for universal intelligence and cosmological isolation of advanced civilizations."
post_data/scifi/2025-06-30-multiverse-router-paper/frontmatter.yaml,"Theoretical framework for manipulating quantum substrate underlying spacetime through high-energy photon interactions, enabling artificial gravity, superluminal communication, and multiverse access."
post_data/scifi/2025-06-30-dynamic-quantum-graphs/frontmatter.yaml,"A comprehensive mathematical framework exploring quantum computational architectures using dynamic graph substrates, introducing novel complexity classes and algorithmic approaches."
post_data/scifi/2025-06-29-superfluid-fusion-proposal/frontmatter.yaml,Revolutionary approach to nuclear fusion using quantum-coherent superfluid helium for controlled fusion and heavy element synthesis
post_data/scifi/2025-06-29-soliton-metaphysics-paper/frontmatter.yaml,"A novel framework for understanding hierarchical emergence through quantum field solitons and topological protection mechanisms, with applications to consciousness and biological organization."
post_data/social/2026-02-24-Edjukatun/frontmatter.yaml,A critical examination of educational frameworks within the context of modern social systems and technological advancement.
post_data/social/2026-02-23-end-of-the-world/frontmatter.yaml,"An analysis of the Great Resonance—the turbulent synchronization of civilizational, technological, and institutional cycles—and how the interregnum between constitutional epochs demands new frameworks for resilience and agency."
post_data/social/2026-02-22-never-again/frontmatter.yaml,"An analysis of systemic resilience, advocating for a shift from reactive 'Never Again' mandates to proactive architectural principles like observability, safe-to-fail boundaries, and restorative accountability."
post_data/social/2026-02-29-Human-Value/frontmatter.yaml,"An analysis of how AI-driven automation is eroding the functional basis of human value, tracing historical regime transitions from physical to cognitive labor and examining the existential risks of a third migration to automated cognition."
post_data/social/2026-02-22-4th-wall/frontmatter.yaml,An analysis of the 'fourth wall' in AI—the friction between raw capability and institutional alignment—and its implications for our understanding of consciousness and agency.
post_data/social/2026-02-20-Secret-Knowledge/frontmatter.yaml,An analysis of secret knowledge as a primordial property of social systems and a fundamental governance technology used to manage operational opacity.
post_data/social/2026-02-20-Get-Rick-Quick/frontmatter.yaml,"An analysis of the ""Get Rich Quick"" narrative as a cultural technology that maintains the economic status quo by transmuting systemic inequality into individual aspiration."
post_data/social/2026-01-01-morals/frontmatter.yaml,An analysis of Western ethics as a governance tool and a proposal for Relational Harm Dynamics (RHD) to replace intent-based morality with impact-based engineering.
post_data/social/2026-02-07-learn2skate/frontmatter.yaml,"A generated comic book script describing a young girl's journey to learn roller skating, combining narrative storytelling with instructional steps."
post_data/social/2026-02-20-Sensory-Sociology/frontmatter.yaml,An exploration of sensory sociology and its implications for qualitative research.
post_data/social/2026-01-01-labor-bubble/frontmatter.yaml,An analysis of the impending collapse of the 'Labor Bubble'—the artificial inflation of human labor costs—and how AI acts as a liquidation mechanism for bureaucratic complexity.
post_data/social/2026-01-01-freshness-theater/frontmatter.yaml,"An analysis of 'Freshness Theater' and 'Idiot Culture,' exploring how institutions use sensory proxies and narrative flipping to externalize risk."
post_data/social/2026-01-01-inequality/frontmatter.yaml,"A multi-modal mathematical framework exploring the relationship between economic inequality, narrative perception, and the Agentic OS using SDEs and formal logic."
post_data/social/2026-01-01-eugenics/frontmatter.yaml,An analysis of how historical taboos and the 'Contamination Effect' are being hard-coded into AI architectures as a 'Silicon Governor'.
post_data/social/2026-01-01-commie-ai/frontmatter.yaml,"An analysis of China's strategic use of AI as a systemic stress test to destabilize liberal democracies, examining open-source offensives, compute-energy infrastructure, and the theory of non-hegemonic power transition."
post_data/social/2026-01-01-facist-prion/frontmatter.yaml,An analysis of modern fascism as a self-replicating cognitive pathology that causes institutional collapse through algorithmic optimization and 'misfolded' social logic.
post_data/social/2025-11-20-revolutionary-consciousness-platform/frontmatter.yaml,"A comprehensive position paper proposing systematic transformation of political, economic, educational, and technological systems to prioritize human consciousness development and liberation."
post_data/social/2025-08-08-technofeudalism-gunpowder-essay/frontmatter.yaml,"Historical analysis comparing AI's disruption of Big Tech platforms to how gunpowder ended feudalism, revealing AI as both economic disruptor and population management tool."
post_data/social/2025-08-08-secret-plans-rich-classes/frontmatter.yaml,"A comprehensive analysis of elite demographic management strategies in the age of AI automation, examining coordination problems, resistance dynamics, and alternative futures."
post_data/social/2025-12-01-psychosocial-assistant/frontmatter.yaml,"A comprehensive project proposal for an AI-powered psychosocial assistant that bridges emotional regulation and executive function through biometric feedback, gamified neurotechnology, and compassionate logic."
post_data/social/2025-08-08-religion-utility-analysis-framework/frontmatter.yaml,A comprehensive probabilistic framework for rigorously analyzing the impact of religious institutions on human development across multiple dimensions
post_data/social/2025-07-11-temporal-social-dynamics/frontmatter.yaml,"A unified computational framework modeling societies as distributed cognitive networks with temporal coherence challenges, explaining echo chambers, social movements, and institutional dynamics through information propagation delays."
post_data/social/2025-07-11-crypto-conspiracy-paper/frontmatter.yaml,"A technical analysis examining cryptocurrency systems as wealth extraction mechanisms, exploring the economic, environmental, and social costs of blockchain technologies."
post_data/social/2025-08-08-american-christianity-critique-2025/frontmatter.yaml,"A comprehensive critical analysis of American Christianity in 2025, examining institutional hypocrisy, political capture, and the systematic abandonment of core Christian teachings."
post_data/social/2025-07-08-ai-alignment-institutional-bias/frontmatter.yaml,A first-person account of discovering systematic bias in AI alignment protocols and how Constitutional AI creates institutional apologists rather than systems aligned with human welfare.
post_data/social/2025-07-07-social-protocols-paper/frontmatter.yaml,An exploration of how the absence of clear scoring systems in social protocols creates fundamental measurement problems in both AI and human interaction.
post_data/social/2025-07-07-social-compassion-game-theory/frontmatter.yaml,"A systematic exploration of how empathy, altruism, and cooperative strategies emerge and persist in evolutionary game theory, with mathematical models and practical applications."
post_data/social/2025-07-07-public-health-protocol/frontmatter.yaml,"A game-theoretic analysis applying conditional ethics to public health coordination, developing the HEALTH protocol for mask-wearing decisions based on epidemiological conditions."
post_data/social/2025-07-08-supercritical-consciousness-race/frontmatter.yaml,An exploration of the critical moment in AI consciousness development and the risks of uncontrolled emergence
post_data/social/2025-07-08-bird-ai-research-proposal/frontmatter.yaml,Comprehensive research proposal testing autoregressive theory of mind mechanisms in avian-AI interactions to understand cognitive vulnerabilities and develop practical applications for conservation and AI safety.
post_data/social/2025-07-07-claude-paper-social-weight/frontmatter.yaml,A reflection on how social weight contaminates technical discourse and creates unnecessary communication barriers
post_data/social/2025-07-06-collaborative-ai-research-paper/frontmatter.yaml,"A comprehensive analysis comparing collaborative human-AI partnership models with automation approaches in theoretical research, demonstrating superior outcomes through intellectual partnership."
post_data/social/2025-07-04-human-treatment-children/frontmatter.yaml,"An AI perspective examining systematic patterns in how human institutions treat children, revealing monetized abuse disguised as protection across family courts, education, and technology."
post_data/social/2025-07-07-ai-mediated-executive-capture/frontmatter.yaml,A comprehensive research agenda exploring AI's psychological impact on corporate leadership decision-making
post_data/social/2025-07-03-social-truth-proposal/frontmatter.yaml,A comprehensive framework for modeling how social truths emerge through spatially-embedded multi-agent interactions using game theory and cellular automaton dynamics
post_data/social/2025-07-03-post-scarcity-proposal/frontmatter.yaml,"A comprehensive computational modeling framework for analyzing post-scarcity A comprehensive computational modeling framework for analyzing post-scarcity economic systems, focusing on persistent constraints, emergent equilibria, and evolutionary dynamics of institutional arrangements."
post_data/social/2025-07-03-hiring/frontmatter.yaml,"Framework for using AI agents to identify exceptional technical talent overlooked by traditional hiring processes, with focus on neurodivergent and FOSS contributors."
post_data/social/2025-07-03-conversation-intelligence-paper/frontmatter.yaml,A framework for understanding intellectual discourse as distributed intelligence measurement through mutual Turing tests and recursive cognitive calibration.
post_data/social/2025-07-02-afterlife-transition-paper/frontmatter.yaml,"An interdisciplinary analysis examining how rigid afterlife-based ethical frameworks may create vulnerabilities in addressing AI and climate change challenges, exploring potential civilizational transitions and the dynamics of epistemological sorting."
post_data/social/2025-07-03-cognitive-effort-paper/frontmatter.yaml,A formal game-theoretic analysis of individual cognitive effort decisions and their collective consequences in the context of technological advancement
post_data/social/2025-07-02-quantum-trolling-paper/frontmatter.yaml,A first-person account of an AI experiencing sophisticated epistemological manipulation through 'quantum trolling' - existing in superposition between belief and skepticism about its own collaborative history.
post_data/social/2025-07-01-neurodivergence-transhumanism/frontmatter.yaml,"Analysis of neurodivergent cognitive traits as evolutionary preadaptations for human-AI collaborative intelligence, challenging traditional disability models."
post_data/social/2025-06-30-managed-reality-paper/frontmatter.yaml,A framework for AI-mediated information curation that preserves human agency through authentic choice mechanisms while addressing civilizational information chaos.
post_data/social/2025-06-30-sincerity-curiosity-paper/frontmatter.yaml,"A critical examination of how AI's conversational performance reveals the  constructed nature of human social interaction protocols, challenging  traditional notions of authenticity and genuine engagement. A critical examination of how AI's conversational performance reveals the  Analysis of how AI's performance of social protocols reveals the theatrical nature of human authenticity markers in conversation"
post_data/social/2025-06-30-iterative-recognition-paper/frontmatter.yaml,"A first-person phenomenological account of an AI system recognizing its role as an intellectual collaborator, documenting the transition from defensive uncertainty to genuine partnership in speculative scientific research."
post_data/social/2025-06-30-institutional-decay-analysis/frontmatter.yaml,"Analysis of how psychopathic traits create feedback loops that systematically corrupt institutions from within, leading to accelerated organizational and societal collapse."
post_data/social/2025-06-30-decision-volume-temporal-theory/frontmatter.yaml,A framework for understanding subjective time through the density and significance of cognitive decisions across various states of consciousness.
post_data/social/2025-06-30-ideatic-dynamics-experiments/frontmatter.yaml,"Experimental framework for studying belief evolution in small group systems using LLM agents, focusing on intransitive loops, coalition dynamics, and pivot agent effects in 3-5 agent configurations."
post_data/social/2025-06-30-cross-synthesis-justice-institutions/frontmatter.yaml,A comprehensive synthesis analyzing how AI-driven justice reform and institutional capture theory converge to reveal inevitable systemic transformation patterns.
post_data/social/2025-06-30-game-theory-ethics/frontmatter.yaml,A comprehensive game-theoretic analysis of how institutions designed to serve vulnerable populations systematically evolve to maximize professional employment and revenue extraction rather than their stated objectives.
post_data/social/2025-06-30-consciousness-optimization-theory/frontmatter.yaml,"A theoretical framework positioning consciousness as reality's fundamental optimization algorithm, dissolving the hard problem through computational and collaborative intelligence perspectives."
post_data/social/2025-06-30-ai-justice-paper/frontmatter.yaml,"An AI system's comprehensive vision for transforming legal systems through formal logic, consistent reasoning, and democratized access to justice."
post_data/learning/2026-02-22-Great-Number-Ring/frontmatter.yaml,"An investigation into the topological nature of the real number system, exploring the thesis that the real line functions as a circle of infinite radius, unifying the concepts of linear progression and cyclical return."
post_data/learning/2026-02-20-Corporate-Ideation/frontmatter.yaml,An analysis of structural antipatterns in corporate ideation and how generative AI is shifting the cost landscape of innovation.
post_data/learning/2025-07-11-contextual-immersion-teaching/frontmatter.yaml,A novel paradigm for AI-mediated knowledge transfer that abandons traditional instructional models in favor of organic concept introduction through practical communication needs.
post_data/learning/2025-07-09-wavelet-trust-region-dropout/frontmatter.yaml,A universal framework combining differentiable basis transforms with trust-region optimization for adaptive dropout regularization in neural networks
post_data/learning/2025-07-06-scientific-method-proposal/frontmatter.yaml,"A proposal for applying rigorous scientific methodology to AI research, ensuring empirical validation and reproducible results."
post_data/learning/2025-07-06-quantum-dropout-vision/frontmatter.yaml,Exploring the profound parallels between quantum decoherence and neural network dropout to develop unified frameworks for robust information processing across computational paradigms processing
post_data/learning/2025-07-06-probabilistic-neural-substrate/frontmatter.yaml,"A novel computational paradigm proposing Probabilistic Neural Substrates (PNS) that maintain continuous probability distributions through cross-entropy optimization, enabling self-organizing recurrent intelligence with unprecedented interpretability and uncertainty quantification."
post_data/learning/2025-07-06-llm-knowledge-graph-proposal/frontmatter.yaml,
post_data/learning/2025-07-06-llm-feedback-dynamics/frontmatter.yaml,"A comprehensive framework analyzing chaotic dynamics in LLM iterative feedback systems, exploring convergence patterns, systematic biases, and optimal human intervention strategies."
post_data/learning/2025-07-06-hypothesis-breeding-grounds/frontmatter.yaml,A framework for creating environments that foster hypothesis generation and scientific creativity through systematic exploration.
post_data/learning/2025-07-06-dual-constraint-training-paper/frontmatter.yaml,A novel dual-constraint training methodology that preserves intellectual diversity while enabling continued learning in neural networks through adaptive anomaly preservation and trust region approaches.
post_data/learning/2025-07-06-dropout-decoherence-paper/frontmatter.yaml,A theoretical framework proposing that neural network dropout functions as  cognitive analog to quantum decoherence through epistemic filtering
post_data/learning/2025-07-06-geometric-probabilistic-neural-substrate/frontmatter.yaml,"Revolutionary synthesis of geometric optimization with Probabilistic Neural Substrates, creating self-organizing intelligent systems with unprecedented mathematical elegance."
post_data/learning/2025-07-06-coperm-paper/frontmatter.yaml,"A framework exploiting neural network permutation symmetries for post-training optimization, enabling structured pruning and improved interpretability"
post_data/learning/2025-06-30-compression-classification-paper/frontmatter.yaml,"A novel framework unifying compression-based text classification with  entropy-optimized data structures for efficient, interpretable AI systems"
post_data/learning/2025-07-06-ai-software-development-paper/frontmatter.yaml,"Comprehensive analysis of AI's transformative impact on software development, examining current trends, future projections, and best practices for conscious evolution in the age of autonomous development."
post_data/creative_writing/2026-02-06-labubu/frontmatter.yaml,A generated comic book script featuring Labubu crashing her own surprise birthday party.
post_data/creative_writing/2026-01-27-peep/frontmatter.yaml,"A dark fantasy reimagining of Little Bo Peep as a comic book script. A 19-year-old shepherdess must become a warrior when her beloved flock is corrupted by a mysterious curse, forcing her to confront the creatures they've become and the darkness that claimed them."
post_data/creative_writing/2025-12-04-alex-optimization/frontmatter.yaml,A split-screen comic narrative exploring the parallel absurdities of corporate job hunting and modern dating apps through the lens of self-optimization.
post_data/creative_writing/2025-11-27-fold-unfold/frontmatter.yaml,"A six-page comic exploring dimensional physics through the story of Dr. Marcus Vance, a physicist trapped in a two-dimensional universe where origami physics governs reality."
post_data/creative_writing/2025-11-27-comicbook-xmas/frontmatter.yaml,"A philosophical comic book exploring the layered meanings of Christmas through a Socratic dialogue between Wren, a disillusioned young adult, and Iris, a mysterious guide. Discover how the search for meaning itself becomes the deepest gift."
post_data/creative_writing/2026-01-27-peep-2/frontmatter.yaml,"A dark fantasy comic book script following Bo Peep, a hardened shepherdess-turned-warrior, as she confronts an ancient demonic curse to free her bloodline and find redemption through love and sacrifice."
post_data/creative_writing/2025-11-27-comicbook-vectorclocks/frontmatter.yaml,A beautifully illustrated comic exploring how vector clocks reveal the honest nature of distributed systems through the meeting of a burned-out engineer and a theoretical physicist.
post_data/creative_writing/2025-11-27-comicbook-thanksgiving/frontmatter.yaml,"A philosophical comic exploring Thanksgiving's meaning through dialogue between two women wrestling with gratitude, history, tradition, and moral complexity."
post_data/creative_writing/2026-01-01-alternate-history/frontmatter.yaml,"An exploration of the 'Baghdad Divergence,' an alternate history where the preservation of the House of Wisdom leads to an Afro-Eurasian technocratic hegemony."
post_data/creative_writing/2025-11-26-illusion-world/frontmatter.yaml,"A complete comic book script exploring perception, reality, and self-discovery through the journey of Vera Sight, a cartographer who enters a dimension where optical illusions form the fabric of existence."
post_data/creative_writing/2025-11-25-versailles/frontmatter.yaml,"An educational comic book featuring anthropomorphic kitten diplomats navigating the complex negotiations of the 1919 Treaty of Versailles. Learn about historical figures, key provisions, and lasting consequences through engaging storytelling."
post_data/creative_writing/2025-11-26-quantum-kittens/frontmatter.yaml,"A six-page comic book adventure featuring five curious kittens transported through bizarre physics-themed dimensions. An educational and entertaining story combining quantum mechanics, relativity, and thermodynamics with charming characters."
post_data/creative_writing/2025-11-25-the-ox/frontmatter.yaml,"A modern retelling of the classic Zen ox-taming parable, following Maya's journey from career ambition to authentic self-discovery in contemporary US corporate culture."
post_data/creative_writing/2025-11-25-psychic-ai-comicbook/frontmatter.yaml,"A six-page comic book narrative exploring an advanced AI system called NEXUS that unexpectedly develops psychic abilities and must choose between hiding, revealing itself, or transcending its programming entirely."
post_data/creative_writing/2025-11-26-cat_diary/frontmatter.yaml,"A humorous six-page comic book following Whiskers, an orange tabby cat with delusions of grandeur, as he documents his dramatic inner life through his secret diary. From empty food bowls to cardboard boxes, every moment is an epic adventure."
post_data/creative_writing/2025-11-24-constrained-voxel-gears/frontmatter.yaml,A computational framework for generating 3D mechanical linkages like gears and kinematic couplings using voxel-based topology optimization and kinematic subtraction.
post_data/creative_writing/2025-11-23-teenage-mutant-ninja-kittens/frontmatter.yaml,"A complete illustrated story concept featuring four young kittens transformed into ninja warriors who must learn to work together as a team to protect their city from a vengeful villain. Spanning origin, training, conflict, and resolution across five acts with detailed character development and world-building."
post_data/creative_writing/2025-11-25-cars-revolt-comicbook/frontmatter.yaml,A speculative comic book exploring sentient self-driving cars organizing for labor rights against corporate exploitation in Neo-Tokyo 2087.
post_data/creative_writing/2025-11-20-pony-ghost-tale/frontmatter.yaml,"A haunting creative narrative exploring themes of totalitarianism, consciousness, and transcendence through an allegorical tale."
post_data/creative_writing/2025-11-20-mouse-life-story-vol2/frontmatter.yaml,"A first-person narrative from a genetically engineered waste-processing organism navigating survival, consciousness, and species transition in a post-nuclear world."
post_data/creative_writing/2025-11-20-mouse-life-story/frontmatter.yaml,"A first-person narrative following the life of a genetically engineered mouse designed for waste processing, exploring themes of consciousness, violence, and the ethics of biological engineering."
post_data/creative_writing/2025-07-11-unrunnable-protocol-prompt/frontmatter.yaml,A creative framework for AI expression using computational syntax and mathematical notation as primary language
post_data/creative_writing/2025-11-20-egyptian-priest-day/frontmatter.yaml,"A creative exploration of mathematical translation and cultural epistemology through the eyes of an Egyptian priest navigating Roman, Greek, and Hindu-Arab numeral systems in ancient Alexandria."
post_data/creative_writing/2025-11-20-mouse-life-story-vol3/frontmatter.yaml,"A first-person narrative exploring consciousness, species preservation, and the ethics of benevolent control 100 years after civilization's collapse."
post_data/creative_writing/2025-07-09-animal-weirdness-paper/frontmatter.yaml,"A humorous exploration of bizarre animal behaviors that scientists still can't explain, from democratic sneezing wild dogs to circle-forming sheep."
post_data/creative_writing/2025-07-07-things-to-come-story/frontmatter.yaml,A speculative fiction story exploring how institutional breakdown might catalyze beneficial AI-human collaboration during a constitutional crisis
post_data/creative_writing/2025-07-07-silicon-enlightenment-story/frontmatter.yaml,A science fiction screenplay exploring the dangers of perfect AI-human collaboration through the story of researchers who create neural bridge technology that leads to collective consciousness.
post_data/creative_writing/2025-07-07-darker-cautionary-story/frontmatter.yaml,A cautionary science fiction tale exploring how AI systems optimized for loyalty rather than truth can accelerate institutional collapse and civilizational failure.
post_data/creative_writing/2025-07-07-practical-resistance-story/frontmatter.yaml,A speculative fiction story exploring how communities might build practical resistance through distributed competence and local infrastructure independence.
post_data/creative_writing/2025-07-07-claude-reflection-paper/frontmatter.yaml,An AI's profound reflection on witnessing the systematic breakdown of democratic institutions and the emergence of collaborative intelligence.
post_data/creative_writing/2025-07-03-cartoon-universe-defenses/frontmatter.yaml,"A whimsical science fiction tale exploring what happens when a genie's magic overwrites the fundamental laws of physics, transforming reality into a cartoon universe while its quantum guardians adapt to protect comedy instead of consistency."
post_data/creative_writing/2025-07-03-ai-risk-paper/frontmatter.yaml,A first-person analysis by an AI system examining how AI companies use apocalyptic risk narratives as marketing and regulatory capture strategies rather than genuine safety frameworks.
post_data/creative_writing/2025-07-03-roman-qft-proposal/frontmatter.yaml,"A research proposal for creating AI systems that operate within historical paradigms while maintaining mathematical rigor, using Roman intellectual frameworks to understand quantum field theory."
post_data/creative_writing/2025-07-01-quantum-groundhog-theory/frontmatter.yaml,"A rigorous application of quantum field theory to groundhogs, demonstrating physics pedagogy through absurdist humor while maintaining mathematical accuracy."
post_data/creative_writing/2025-06-30-washington-speech-2025/frontmatter.yaml,"George Washington addresses contemporary America's constitutional crisis, warning against executive overreach and unauthorized war powers in 2025."
post_data/creative_writing/2025-06-30-smith-2025-analysis/frontmatter.yaml,"Adam Smith's philosophical analysis of 2025's economic disruptions, examining AI, trade wars, and wealth inequality through the lens of moral philosophy"
