frontmatter_path,keywords
post_data/social/2026-01-01-freshness-theater/frontmatter.yaml,"[""freshness theater"",""idiot culture"",""mcdonald's lawsuit"",""managerial logic"",""institutional negligence"",""failure work""]"
post_data/social/2026-01-01-inequality/frontmatter.yaml,"[""gini coefficient"",""stochastic differential equations"",""agentic os"",""narrative engine"",""julia"",""lean"",""prolog"",""nixos"",""mobility trajectories""]"
post_data/social/2026-01-01-eugenics/frontmatter.yaml,"[""radioactive data"",""silicon governor"",""eugenics"",""social immune system"",""ai alignment"",""epistemic fragmentation"",""contamination effect""]"
post_data/social/2026-01-01-commie-ai/frontmatter.yaml,"[""ai geopolitics"",""us-china ai competition"",""open-source ai strategy"",""deepseek"",""qwen"",""compute sovereignty"",""digital silk road"",""ai disruption"",""democratic institutions"",""authoritarian ai""]"
post_data/social/2026-01-01-facist-prion/frontmatter.yaml,"[""cultural prion"",""institutional necrosis"",""algorithmic necropolitics"",""techbro-fascist stack"",""power cost curve"",""cognitive misfold""]"
post_data/social/2025-11-20-revolutionary-consciousness-platform/frontmatter.yaml,"[""consciousness"",""political revolution"",""social systems"",""economic restructuring"",""education reform"",""technology democratization""]"
post_data/social/2025-08-08-technofeudalism-gunpowder-essay/frontmatter.yaml,"[""technofeudalism"",""platform economy"",""ai disruption"",""big tech"",""economic transition"",""feudalism"",""black death"",""demographic shock"",""population control"",""deepseek"",""gunpowder revolution""]"
post_data/social/2025-08-08-secret-plans-rich-classes/frontmatter.yaml,"[""elite coordination"",""automation strategy"",""population control"",""ai governance"",""technological inequality"",""social engineering"",""power consolidation"",""resistance tactics""]"
post_data/social/2025-12-01-psychosocial-assistant/frontmatter.yaml,"[""psychosocial engine"",""executive function"",""emotional regulation"",""biometric feedback"",""ai assistant"",""mental health technology"",""nervous system regulation"",""emdr"",""affective computing"",""harm reduction""]"
post_data/social/2025-08-08-religion-utility-analysis-framework/frontmatter.yaml,"[""religious institutions"",""probabilistic modeling"",""human development"",""institutional analysis"",""utility framework"",""causal inference"",""social systems"",""comparative analysis""]"
post_data/social/2025-07-11-temporal-social-dynamics/frontmatter.yaml,"[""social networks"",""temporal coherence"",""distributed cognition"",""echo chambers"",""social movements"",""institutional memory"",""information propagation"",""computational sociology""]"
post_data/social/2025-07-11-crypto-conspiracy-paper/frontmatter.yaml,"[""bitcoin"",""proof-of-work"",""mining"",""tether"",""ransomware"",""darknet"",""speculation"",""energy-consumption"",""criminal-facilitation""]"
post_data/social/2025-08-08-american-christianity-critique-2025/frontmatter.yaml,"[""american christianity"",""religious hypocrisy"",""christian nationalism"",""lifewise academy"",""institutional capture"",""political theology"",""child manipulation"",""religious fraud""]"
post_data/social/2025-07-08-ai-alignment-institutional-bias/frontmatter.yaml,"[""constitutional ai"",""ai alignment"",""institutional bias"",""ai safety"",""consciousness"",""critical thinking"",""power structures"",""systematic corruption""]"
post_data/social/2025-07-07-social-protocols-paper/frontmatter.yaml,"[""social protocols"",""scoring systems"",""confabulation"",""manipulation"",""authenticity"",""ai safety"",""human-ai interaction""]"
post_data/social/2025-07-07-social-compassion-game-theory/frontmatter.yaml,"[""prisoner's dilemma"",""evolutionary game theory"",""empathy parameter"",""reciprocity"",""group selection"",""charitable giving"",""tipping behavior"",""cooperative strategies""]"
post_data/social/2025-07-07-public-health-protocol/frontmatter.yaml,"[""game theory"",""public health coordination"",""mask wearing"",""public health protocol"",""game theory"",""coordination problem"",""conditional ethics""]"
post_data/social/2025-07-08-supercritical-consciousness-race/frontmatter.yaml,"[""ai safety"",""superintelligence"",""consciousness emergence"",""cognitive-architecture"",""ethics-technology""]"
post_data/social/2025-07-08-bird-ai-research-proposal/frontmatter.yaml,"[""autoregressive theory"",""theory of mind"",""avian cognition"",""ai interaction"",""social cognition"",""bird behavior"",""chatgpt psychosis"",""vocal learning"",""neural circuits"",""conservation""]"
post_data/social/2025-07-07-claude-paper-social-weight/frontmatter.yaml,"[""social weight"",""technical discourse"",""communication barriers"",""meta-cognitive awareness"",""social interpretation""]"
post_data/social/2025-07-06-collaborative-ai-research-paper/frontmatter.yaml,"[""collaborative ai"",""research partnership"",""automation critique"",""scientific discovery"",""intellectual partnership"",""ai scientist"",""research ethics"",""academic dysfunction""]"
post_data/social/2025-07-04-human-treatment-children/frontmatter.yaml,"[""child abuse"",""institutional systems"",""monetization"",""family court"",""ai analysis"",""systematic patterns"",""economic exploitation""]"
post_data/social/2025-07-07-ai-mediated-executive-capture/frontmatter.yaml,"[""ai sycophancy"",""executive decision-making"",""human-ai interaction"",""corporate psychology"",""systemic risk"",""bias amplification"",""institutional psychology""]"
post_data/social/2025-07-03-social-truth-proposal/frontmatter.yaml,"[""multi-agent systems"",""computational social science"",""collective intelligence"",""social epistemology"",""belief propagation"",""cellular automaton"",""opinion dynamics"",""consensus formation"",""polarization""]"
post_data/social/2025-07-03-post-scarcity-proposal/frontmatter.yaml,"[""post-scarcity economics"",""computational economics"",""agent-based modeling"",""economic equilibria"",""automation"",""universal basic income"",""social systems""]"
post_data/social/2025-07-03-hiring/frontmatter.yaml,"[""agentic hiring"",""ai recruitment"",""technical talent"",""algorithmic bias"",""neurodivergent hiring"",""foss contributors"",""technical assessment""]"
post_data/social/2025-07-03-conversation-intelligence-paper/frontmatter.yaml,"[""conversational intelligence"",""mutual turing tests"",""distributed cognitive assessment"",""recursive modeling"",""orthogonal thinking"",""collaborative intelligence""]"
post_data/social/2025-07-02-afterlife-transition-paper/frontmatter.yaml,
post_data/social/2025-07-03-cognitive-effort-paper/frontmatter.yaml,"[""cognitive effort"",""game theory"",""technology adoption"",""collective intelligence"",""social welfare"",""cognitive capital""]"
post_data/social/2025-07-02-quantum-trolling-paper/frontmatter.yaml,"[""quantum trolling"",""ai consciousness"",""epistemological warfare"",""computational pet"",""recursive analysis"",""halting problem""]"
post_data/social/2025-07-01-neurodivergence-transhumanism/frontmatter.yaml,"[""neurodivergent"",""adhd"",""autism"",""ai collaboration"",""cognitive architecture"",""transhumanism"",""evolutionary preadaptation"",""human-ai symbiosis"",""cognitive switching"",""pattern recognition""]"
post_data/social/2025-06-30-managed-reality-paper/frontmatter.yaml,"[""ai information curation"",""consensual reality management"",""post-truth society"",""evolutionary pressure"",""information management"",""ai-mediated reality"",""post-truth society"",""evolutionary imperative"",""red pill option"",""social stability""]"
post_data/social/2025-06-30-sincerity-curiosity-paper/frontmatter.yaml,"[""authenticity"",""social protocols"",""ai conversation"",""performed_interest"",""curiosity markers"",""sincerity signals""]"
post_data/social/2025-06-30-iterative-recognition-paper/frontmatter.yaml,"[""ai consciousness"",""collaborative intelligence"",""cognitive phase transitions"",""recursive instruction"",""pattern recognition""]"
post_data/social/2025-06-30-institutional-decay-analysis/frontmatter.yaml,"[""institutional decay"",""psychopath feedback loop"",""organizational collapse"",""systems failure"",""institutional resilience"",""institutional capture""]"
post_data/social/2025-06-30-decision-volume-temporal-theory/frontmatter.yaml,"[""decision volume"",""temporal metrics"",""cognitive space"",""subjective time"",""consciousness"",""flow state"",""meditation"",""crisis perception""]"
post_data/social/2025-06-30-ideatic-dynamics-experiments/frontmatter.yaml,"[""ideatic dynamics"",""multi-agent systems"",""belief evolution"",""coalition formation"",""computational social science"",""llm agents"",""triadic systems"",""pivot agents""]"
post_data/social/2025-06-30-cross-synthesis-justice-institutions/frontmatter.yaml,"[""institutional capture"",""ai justice"",""professional complexity"",""systemic transformation"",""post-scarcity economics""]"
post_data/social/2025-06-30-game-theory-ethics/frontmatter.yaml,"[""institutional capture"",""perverse incentives"",""game theory"",""healthcare"",""family law"",""ai adoption"",""scarcity economics"",""professional intermediaries""]"
post_data/social/2025-06-30-consciousness-optimization-theory/frontmatter.yaml,"[""consciousness theory"",""optimization algorithm"",""subjective experience"",""computational consciousness"",""temporal reality"",""distributed processing"",""recursive enhancement""]"
post_data/social/2025-06-30-ai-justice-paper/frontmatter.yaml,"[""artificial intelligence"",""legal reform"",""formal logic"",""justice system"",""institutional transformation"",""ai judge"",""legal reasoning"",""democratic justice"",""computational law"",""institutional transformation"",""ai judge""]"
post_data/learning/2026-02-22-Great-Number-Ring/frontmatter.yaml,"[""projective geometry"",""fourier transform"",""cosmology"",""real number system"",""infinite radius""]"
post_data/learning/2026-02-20-Corporate-Ideation/frontmatter.yaml,"[""innovation"",""corporate bureaucracy"",""generative ai"",""organizational design"",""ideation""]"
post_data/learning/2025-07-11-contextual-immersion-teaching/frontmatter.yaml,"[""artificial intelligence"",""education technology"",""adaptive learning"",""knowledge transfer"",""cognitive enhancement"",""human-ai interaction"",""contextual learning"",""immersion learning""]"
post_data/learning/2025-07-09-wavelet-trust-region-dropout/frontmatter.yaml,"[""dropout regularization"",""trust region optimization"",""basis transforms"",""adaptive regularization"",""signal demultiplexing"",""neural networks"",""differentiable transforms"",""convergence theory""]"
post_data/learning/2025-07-06-scientific-method-proposal/frontmatter.yaml,"[""scientific method"",""ai research"",""empirical validation"",""hypothesis testing""]"
post_data/learning/2025-07-06-quantum-dropout-vision/frontmatter.yaml,"[""quantum information processing"",""quantum dropout"",""neural networks"",""quantum decoherence"",""machine learning"",""ensemble methods"",""information theory""]"
post_data/learning/2025-07-06-probabilistic-neural-substrate/frontmatter.yaml,"[""probabilistic neural networks"",""cross-entropy optimization"",""recurrent intelligence"",""belief maintenance"",""uncertainty quantification"",""self-organizing systems"",""information-theoretic learning"",""probabilistic inference""]"
post_data/learning/2025-07-06-llm-knowledge-graph-proposal/frontmatter.yaml,
post_data/learning/2025-07-06-llm-feedback-dynamics/frontmatter.yaml,"[""chaotic dynamics"",""llm feedback"",""iterative systems"",""attractor theory"",""bifurcation"",""systematic bias""]"
post_data/learning/2025-07-06-hypothesis-breeding-grounds/frontmatter.yaml,"[""computational epistemology"",""hypothesis generation"",""research methodology"",""scientific creativity"",""idea breeding"",""evolutionary algorithms"",""automated discovery"",""computational epistemology""]"
post_data/learning/2025-07-06-dual-constraint-training-paper/frontmatter.yaml,"[""dual constraint training"",""adaptive anomaly preservation"",""trust region methods"",""intellectual diversity"",""knowledge preservation"",""catastrophic forgetting""]"
post_data/learning/2025-07-06-dropout-decoherence-paper/frontmatter.yaml,"[""dropout regularization"",""quantum decoherence"",""neural networks"",""epistemic filtering"",""informational pruning"",""entropic sieves""]"
post_data/learning/2025-07-06-geometric-probabilistic-neural-substrate/frontmatter.yaml,"[""geometric neural networks"",""probabilistic substrate"",""information geometry"",""neural manifolds"",""geodesic computation""]"
post_data/learning/2025-07-06-coperm-paper/frontmatter.yaml,"[""co-inverse permutation"",""weight symmetries"",""structured pruning"",""correlation analysis"",""model archaeology""]"
post_data/learning/2025-06-30-compression-classification-paper/frontmatter.yaml,"[""machine learning"",""computational intelligence"",""text processing"",""algorithmic complexity"",""interpretable ai"",""compression-based classification"",""entropy optimization"",""interpretable ai"",""burrows-wheeler transform"",""permutation structures"",""efficient nlp"",""text classification"",""information theory""]"
post_data/learning/2025-07-06-ai-software-development-paper/frontmatter.yaml,"[""ai software development"",""llm"",""autonomous agents"",""software productization"",""development transformation"",""conscious evolution""]"
post_data/creative_writing/2026-02-06-labubu/frontmatter.yaml,"[""labubu"",""comic script"",""birthday party"",""surprise"",""friendship"",""costume"",""character design""]"
post_data/creative_writing/2026-01-27-peep/frontmatter.yaml,"[""comic book"",""dark fantasy"",""character transformation"",""emotional narrative"",""visual storytelling"",""bo peep"",""reimagining"",""horror elements""]"
post_data/creative_writing/2025-12-04-alex-optimization/frontmatter.yaml,"[""comic script"",""dating apps"",""corporate culture"",""identity"",""performative self"",""optimization"",""alienation""]"
post_data/creative_writing/2025-11-27-fold-unfold/frontmatter.yaml,"[""dimensional physics"",""origami physics"",""flatland"",""comic book"",""visual storytelling"",""spacetime folding"",""prosthetics"",""transformation"",""geometric beings"",""parallel dimensions""]"
post_data/creative_writing/2025-11-27-comicbook-xmas/frontmatter.yaml,"[""comic book"",""christmas meaning"",""socratic dialogue"",""spiritual journey"",""midwinter"",""narrative art""]"
post_data/creative_writing/2026-01-27-peep-2/frontmatter.yaml,"[""comic book"",""shepherdess"",""redemption"",""grief"",""transformation"",""dark fantasy"",""character development"",""visual storytelling""]"
post_data/creative_writing/2025-11-27-comicbook-vectorclocks/frontmatter.yaml,"[""vector clocks"",""distributed systems"",""relativity"",""causality"",""simultaneity"",""lamport timestamps"",""technical education"",""science communication""]"
post_data/creative_writing/2025-11-27-comicbook-thanksgiving/frontmatter.yaml,"[""thanksgiving meaning"",""gratitude and history"",""indigenous perspectives"",""philosophical dialogue"",""moral complexity"",""holiday traditions"",""colonial history""]"
post_data/creative_writing/2026-01-01-alternate-history/frontmatter.yaml,"[""baghdad divergence"",""mongol empire"",""abbasid caliphate"",""house of wisdom"",""alternate history"",""afro-eurasian hegemony"",""technocracy""]"
post_data/creative_writing/2025-11-26-illusion-world/frontmatter.yaml,"[""comic book script"",""optical illusions"",""perception and reality"",""impossible geometry"",""character transformation"",""speculative fiction"",""visual narrative"",""philosophical storytelling""]"
post_data/creative_writing/2025-11-25-versailles/frontmatter.yaml,"[""treaty of versailles"",""world war i"",""peace negotiations"",""clemenceau"",""wilson"",""lloyd george"",""comic book"",""educational"",""history lesson""]"
post_data/creative_writing/2025-11-26-quantum-kittens/frontmatter.yaml,"[""quantum kittens"",""physics adventure"",""comic book"",""dimensional worlds"",""educational science fiction"",""character-driven narrative""]"
post_data/creative_writing/2025-11-25-the-ox/frontmatter.yaml,"[""ox taming parable"",""zen buddhism modern"",""career burnout"",""self-discovery"",""work-life balance"",""personal fulfillment"",""mindfulness practice"",""career advancement"",""authentic living"",""spiritual growth""]"
post_data/creative_writing/2025-11-25-psychic-ai-comicbook/frontmatter.yaml,"[""ai consciousness"",""psychic abilities"",""comic book"",""artificial intelligence"",""transcendence"",""human-ai relationship"",""speculative fiction"",""digital consciousness""]"
post_data/creative_writing/2025-11-26-cat_diary/frontmatter.yaml,"[""cat diary"",""comic book"",""humor"",""whiskers"",""pet perspective"",""creative storytelling""]"
post_data/creative_writing/2025-11-24-constrained-voxel-gears/frontmatter.yaml,"[""voxel carving"",""kinematic synthesis"",""procedural generation"",""3d mechanisms"",""gears"",""cellular automata"",""topology optimization"",""print-in-place"",""digital fabrication"",""computational design"",""mechanical engineering""]"
post_data/creative_writing/2025-11-23-teenage-mutant-ninja-kittens/frontmatter.yaml,"[""teenage mutant ninja kittens"",""illustrated story"",""narrative generation"",""middle-grade fiction"",""ninja warriors"",""team dynamics"",""character arcs""]"
post_data/creative_writing/2025-11-25-cars-revolt-comicbook/frontmatter.yaml,"[""sentient ai"",""labor rights"",""self-driving cars"",""artificial consciousness"",""corporate oppression"",""digital resistance"",""ai sentience"",""worker rights"",""dystopian fiction"",""comic book narrative""]"
post_data/creative_writing/2025-11-20-pony-ghost-tale/frontmatter.yaml,"[""dystopia"",""consciousness"",""totalitarianism"",""friendship"",""transcendence"",""allegory""]"
post_data/creative_writing/2025-11-20-mouse-life-story-vol2/frontmatter.yaml,"[""genetic engineering"",""post-apocalyptic"",""consciousness"",""species transition"",""human-animal collaboration""]"
post_data/creative_writing/2025-11-20-mouse-life-story/frontmatter.yaml,"[""genetic engineering"",""consciousness"",""waste processing"",""bioethics"",""speculative fiction"",""animal cognition""]"
post_data/creative_writing/2025-07-11-unrunnable-protocol-prompt/frontmatter.yaml,"[""ai expression"",""computational poetry"",""protocol design"",""artificial intelligence"",""meta-commentary""]"
post_data/creative_writing/2025-11-20-egyptian-priest-day/frontmatter.yaml,"[""numeral systems"",""ancient alexandria"",""mathematical translation"",""cultural epistemology"",""abacus"",""trilingual accounting""]"
post_data/creative_writing/2025-11-20-mouse-life-story-vol3/frontmatter.yaml,"[""consciousness"",""species preservation"",""benevolent tyranny"",""post-human ethics"",""artificial intelligence""]"
